Rank,Cocktail,Category,Savory,Category,Sweet,Category
38,Grenadine,Beverages,Pine nut,Nut,Rhubarb,Fruits
39,Light rum,Alcohol,Rosemary,Herbs,Walnut,Nut
40,Lillet blanc,Alcohol,Spinach,Spices,Wood sorrel,Herbs
41,Maple syrup,Sugars,Spring onion,Vegetables,Yoghurt,Dairy
42,Maraschino liqueur,Alcohol,Tahin,Other,Allspice,Spices
43,Orgeat syrup,Other,Timian,Herbs,Amaretto,Alcohol
44,Pepper,Spices,White wine,Alcohol,Anise,Spices
45,Pineapple,Fruits,Yoghurt,Dairy,Apple cider vinegar,Vinegars
46,Red wine,Alcohol,Allspice,Spices,Arugula,Vegetables
47,Rosemary,Herbs,Almond,Nut,Avocado,Vegetables
48,Rum,Alcohol,Anchovy,Meats,Bacon,Meats
49,St. Germain,Alcohol,Apple cider,Alcohol,Baileys,Alcohol
50,Star anise,Spices,Apple cider vinegar,Vinegars,Balsamic vinegar,Vinegars
51,Sweet vermouth,Alcohol,Apple vinegar,Vinegars,Banana,Fruits
52,Tabasco,Condiments,Apricot,Fruits,Basil,Herbs
53,Tomato,Vegetables,Asparagus,Vegetables,Bay leaf,Herbs
54,Worcestershire sauce,Condiments,Bacon,Meats,Beer,Alcohol
55,Yellow chartreuse,Alcohol,Balsamic vinegar,Vinegars,Beetroot,Vegetables
56,Almond,Nut,Banana,Fruits,Blood orange,Fruits
57,Amaretto,Alcohol,Bean sprout,Vegetables,Bread,Other
58,Averna Amaro,Alcohol,Beef,Meats,Brown cheese,Cheeses
59,Balsamic vinegar,Vinegars,Beer,Alcohol,Capers,Other
60,Blackberry,Berries,Beetroot,Vegetables,Caramel,Sugars
61,Blueberry,Berries,Blackberry,Berries,Caraway,Spices
62,Cardamom,Spices,Brandy,Alcohol,Carrot,Other
63,Carrot,Other,Bread,Other,Cashew,Nut
64,Champagne,Alcohol,Brocolli,Vegetables,Cayenne pepper,Spices
65,Chicken stock,Other,Buttermilk,Dairy,Champagne,Alcohol
66,Chili,Herbs,Caraway,Spices,Cheddar,Cheeses
67,Cranberry,Berries,Cardamom,Spices,Cherry,Berries
68,Cream,Dairy,Cashew,Nut,Cherry wine,Alcohol
69,Cucumber,Vegetables,Cauliflower,Vegetables,Chestnut,Nut
70,Dark rum,Alcohol,Cayenne pepper,Spices,Chia seed,Seeds
71,Elderflower,Herbs,Celeriac,Vegetables,Chicken stock,Other
72,Fernet Branca,Alcohol,Champagne,Alcohol,Chick pea,Vegetables
73,Garlic,Herbs,Cheddar,Cheeses,Chili,Herbs
74,Ginger ale,Beverages,Cherry,Berries,Chokeberry,Berries
75,Mango,Fruits,Chicken,Meats,Cilantro,Herbs
76,Mezcal,Alcohol,Chicken stock,Other,Cloudberry,Berries
77,Orange curaçao,Alcohol,Chick pea,Vegetables,Coconut sugar,Sugars
78,Parsley,Herbs,Chorizo,Meats,Cognac,Alcohol
79,Pisco,Alcohol,Cloves,Spices,Cointreau,Liqueurs
80,Raspberry,Berries,Cocoa,Other,Cranberry,Berries
81,Sage,Herbs,Coconut,Nut,Cream,Dairy
82,Shallot,Vegetables,Cognac,Alcohol,Cumin,Spices
83,Smoked paprika,Spices,Cointreau,Liqueurs,Currant,Berries
84,Timian,Herbs,Coriander seed,Other,Dark rum,Alcohol
85,Vanilla,Herbs,Corn,Vegetables,Date,Fruits
86,White rum,Alcohol,Courgette,Vegetables,Dill,Herbs
87,White wine,Alcohol,Couscous,Other,Elderberry,Berries
88,Yoghurt,Dairy,Cranberry,Berries,Fig,Fruits
89,,,Cream,Dairy,Flaxseed,Seeds
90,,,Cream cheese,Cheeses,Garam masala,Spices
91,,,Curry,Spices,Garlic,Herbs
92,,,Dark rum,Alcohol,Gin,Alcohol
93,,,Date,Fruits,Gooseberry,Berries
94,,,Edamame,Vegetables,Grand Marnier,Alcohol
